rank,title,duration,genres,directors,cast,synopsis,rating,duration_min
155,Dallas Buyers Club,1h 57min,"Biopic,Drame",Jean-Marc Vallée,"Matthew McConaughey,Jennifer Garner,Jared Leto","L'histoire vraie de Ron Woodroof, un électricien qui a été diagnostiqué séropositif en 1986 et dont l'espérance de vie ne devait pas dépasser 6 mois.",3.9,117
156,Vice Versa,1h 35min,"Animation,Comédie,Famille","Pete Docter,Ronaldo Del Carmen","Charlotte Le Bon,Amy Poehler,Pierre Niney","Au Quartier Général, le centre de contrôle situé dans la tête de la petite Riley, 11 ans, cinq Émotions sont au travail. Lorsque la famille de Riley emménage dans une grande ville, avec tout ce que cela peut avoir d’effrayant, les Émotions ont fort à faire pour guider la jeune fille durant cette difficile transition.",4.7,95
157,Rush,2h 03min,"Biopic,Drame",Ron Howard,"Chris Hemsworth,Daniel Brühl,Olivia Wilde","Situé durant l’âge d’or de la Formule 1, RUSH retrace le passionnant et haletant combat entre deux des plus grands rivaux que l’histoire du sport ait jamais connus, celui de James Hunt et Niki Lauda concourant pour les illustres écuries McLaren et Ferrari.",4.1,123
158,"Batman: The Dark Knight Returns, Part 2",1h 16min,"Action,Animation",Jay Oliva,"Peter Weller,Ariel Winter,David Selby","Batman, s'activant à arrêter les multiples gangs nés de la dissolution du gang des mutants voit ressurgir un vieil ennemi du passé : le Joker.",4.3,76
159,Assurance sur la mort,1h 47min,"Policier,Thriller",Billy Wilder,"Fred MacMurray,Barbara Stanwyck,Edward G. Robinson","Walter Neff, un employé d’une compagnie d’assurances, tombe amoureux de sa cliente Phyllis Dietrichson qui réussit à le convaincre d’échafauder avec elle un plan pour supprimer son mari encombrant et violent et ainsi partager avec elle l’assurance-vie de ce dernier.",4.6,107
160,Hamilton,2h 40min,"Biopic,Historique,Musical",Thomas Kail,"Lin-Manuel Miranda,Jonathan Groff (II),Daveed Diggs","Captation de la célèbre comédie musicale de Broadway récompensée par 11 Tony, Grammy et Olivier Awards, et par un prix Pulitzer. Hamilton raconte l'histoire d'Alexander Hamilton, l'un des Pères fondateurs de la nation américaine.",4.3,160
161,E.T. l'extra-terrestre,2h 00min,"Aventure,Famille,Science Fiction",Steven Spielberg,"Henry Thomas,Drew Barrymore,Dee Wallace","E.T., un extraterrestre, débarque en pleine nuit sur Terre et s'aventure vers Los Angeles. Traqué par des militaires, il se réfugie dans un pavillon de banlieue. Elliot, un jeune garçon, le découvre et va tenter de garder sa présence secrète.",4.8,120
162,Mustang,1h 33min,Drame,Deniz Gamze Ergüven,"Güneş Nezihe Şensoy,Doğa Zeynep Doğuşlu, Elit İşcan","C'est le début de l'été. Dans un village reculé de Turquie, Lale et ses quatre sœurs rentrent de l’école en jouant avec des garçons et déclenchent un scandale aux conséquences inattendues.",4.0,93
163,Taxi Driver,1h 55min,Drame,Martin Scorsese,"Robert De Niro,Jodie Foster,Harvey Keitel","Vétéran de la Guerre du Vietnam, Travis Bickle est chauffeur de taxi dans la ville de New York. Ses rencontres dans le monde de la nuit, la violence quotidienne qu'il croise lui font peu à peu perdre la tête.",4.8,115
164,Dragons,1h 33min,"Aventure,Animation,Famille","Chris Sanders,Dean DeBlois","Donald Reignoux,Jay Baruchel,Emmanuel Jacomy","Pour pouvoir devenir un membre à part entière de sa tribu, le jeune fils d'un chef Viking doit capturer et élever un dragon.",3.9,93
165,Les Figures de l'ombre,2h 07min,"Biopic,Drame",Theodore Melfi,"Taraji P. Henson,Octavia Spencer,Janelle Monáe","L'histoire de Katherine Johnson, Dorothy Vaughn et Mary Jackson, les cerveaux derrière le premier voyage spatial habité réussi par les Américains en 1962. Ces trois Afro-Américaines travaillaient pour la NASA et ont permis à l’astronaute John Glenn de réaliser son premier vol en orbite.",3.3,127
166,Le Sommet des Dieux,1h 35min,"Aventure,Animation,Drame",Patrick Imbert,"Lazare Herson-Macarel,Eric Herson-Macarel,Damien Boisseau","A Katmandou, le reporter japonais Fukamachi croit reconnaître Habu Jôji, cet alpiniste que l'on pensait disparu depuis des années. Il semble tenir entre ses mains un appareil photo qui pourrait changer l’histoire de l’alpinisme.",4.2,95
167,Le Crime était presque parfait,1h 45min,"Policier,Thriller",Alfred Hitchcock,"Ray Milland,Grace Kelly,Robert Cummings","Tony, une ancienne gloire du tennis, s'est marié avec Margot pour sa richesse. Mais celle-ci le trompe avec un jeune auteur de romans policiers. Craignant que sa femme le quitte et le laisse sans le sou, Tony décide de la faire assassiner...",4.4,105
168,La Grande évasion,2h 49min,"Aventure,Drame",John Sturges,"Steve McQueen,Charles Bronson,James Donald","Durant la Seconde Guerre Mondiale, des officiers alliés récidivistes de l'évasion sont prisonniers et surveillés étroitement dans un stalag. Malgré cela, ils préparent une évasion massive...",3.8,169
169,La Couleur des sentiments,2h 26min,Drame,Tate Taylor,"Emma Stone,Jessica Chastain,Viola Davis",Evocation de la vie des domestiques et serviteurs afro-américains chez une riche famille dans le Mississippi d'avant la lutte pour les droits civils.,2.6,146
170,À bout de course,1h 55min,"Drame,Musical",Sidney Lumet,"Steven Hill,Lynne Thigpen,Martha Plimpton","Danny est le fils d'anciens militants contre la guerre du Vietnam. Ses parents Annie et Arthur Pope organiserent un attentat a la bombe contre une fabrique de napalm. Un gardien mourut lors de l'explosion. Depuis, les Pope sont en fuite.",4.8,115
171,Los Olvidados (Pitié pour eux),1h 25min,"Policier,Drame",Luis Buñuel,"Ernesto Alonso,Jesús García,Roberto Cobo","Dans une banlieue déshéritée de Mexico, El Jaïbo, échappé d’une maison de correction, retrouve sa bande. Ensemble, ils agressent un aveugle et dévalisent un cul-de-jatte. Mais El Jaïbo veut avant tout se venger de Julian, qu’il accuse de l’avoir dénoncé.",4.3,85
172,Parasite - Version noir et blanc,2h 12min,Thriller,Bong Joon Ho,"Song Kang-Ho,Woo-sik Choi,Park So-Dam","Le film ressort au cinéma le 19 février en noir et blanc, sous le titre ""Parasite, the Black & White Version"".Toute la famille de Ki-taek est au chômage, et s’intéresse fortement au train de vie de la richissime famille Park. Un jour, leur fils réussit à se faire recommander pour donner des cours particuliers d’anglais chez les Park. C’est le début d’un engrenage incontrôlable, dont personne ne sortira véritablement indemne...",4.3,132
173,Casablanca,1h 42min,"Drame,Romance",Michael Curtiz,"Humphrey Bogart,Ingrid Bergman,Paul Henreid","Dans son night-club marocain, le cynique Rick Blaine ferme les yeux sur la misère de la Seconde Guerre mondiale jusqu’à ce que son ancienne amante, Ilsa Lund, entre dans la pièce, forçant Rick à choisir entre vivre avec la femme qu’il aime et devenir le héros dont elle a besoin.",4.4,102
174,Amadeus,3h 00min,"Comédie dramatique,Historique",Milos Forman,"Tom Hulce,F. Murray Abraham,Elizabeth Berridge","Au XVIIIe siècle, à Vienne, Antonio Salieri, le compositeur attitré de l'empereur mélomane Joseph II, tente d'acquérir la gloire éternelle. Pour ce faire, il doit évincer Wolfgang Amadeus Mozart, son rival dont il admire le profond génie.",4.5,180
175,Zootopie,1h 48min,"Animation,Comédie,Famille","Byron Howard,Jared Bush,Rich Moore","Marie-Eugénie Maréchal,Ginnifer Goodwin,Alexis Victor","Zootopie est une ville qui ne ressemble à aucune autre : seuls les animaux y habitent ! Lorsque l'adorable lapine Judy Hopps fait son entrée dans la police, elle s’attaque à une épineuse affaire, l'obligeant à faire équipe avec Nick Wilde, un renard à la langue bien pendue et véritable virtuose de l’arnaque…",4.0,108
176,Edmond,1h 53min,"Comédie,Historique",Alexis Michalik,"Thomas Solivérès,Olivier Gourmet,Mathilde Seigner","Décembre 1897, Paris. Edmond Rostand n’a pas encore trente ans mais déjà deux enfants et beaucoup d’angoisses. Il n’a rien écrit depuis deux ans. En désespoir de cause, il propose au grand Constant Coquelin une pièce nouvelle, une comédie héroïque, en vers, pour les fêtes.",3.6,113
177,L'Impasse,2h 23min,"Policier,Drame,Thriller",Brian De Palma,"Al Pacino,Sean Penn,Penelope Ann Miller","En 1975, à New York, Carlito Brigante, un ancien trafiquant de drogue, est libéré de prison. Carlito est décidé à rentrer dans le droit chemin et il compte se retirer aux Bahamas pour s'assurer une retraite paisible. Mais le destin en décidera autrement.",4.8,143
178,Le Mans 66,2h 33min,"Biopic,Drame",James Mangold,"Matt Damon,Christian Bale,Caitriona Balfe",L'histoire des deux constructeurs automobiles s'affrontant au Mans en 1966.,3.8,153
179,Les enfants du paradis,3h 09min,"Drame,Romance",Marcel Carné," Arletty,Jean-Louis Barrault,Pierre Brasseur","Paris, 1828. Sur le boulevard du Crime, au milieu de la foule, des acteurs et des bateleurs, le mime Baptiste Deburau, par son témoignage muet, sauve Garance d'une erreur judiciaire. C'est ici que commencent les amours contrariées de Garance et de Baptiste...",5.0,189
180,Le Fanfaron,1h 45min,Comédie dramatique,Dino Risi,"Vittorio Gassman,Jean-Louis Trintignant, Catherine Spaak","Un Méditerranéen très en verve, désinvolte, charmeur et... fanfaron, fait la connaissance d'un étudiant en droit studieux, timide et complexé. Il va lui faire vivre deux jours de randonnées trépidantes de Rome à Viareggio...",4.3,105
181,Le Chant de la Mer,1h 33min,"Animation,Famille,Fantastique",Tomm Moore,"Jean-Stan du Pac,David Rawle,Patrick Bethune","C’est l’histoire d’une petite fille qui découvre qu’elle est une « silkie », une fée capable de se transformer en phoque. Elle va devoir chanter « le chant de la mer » pour ouvrir au peuple des fées les portes de leur royaume.",3.9,93
182,Gone Girl,2h 29min,"Policier,Drame,Thriller",David Fincher,"Ben Affleck,Rosamund Pike,Neil Patrick Harris","À l’occasion de son cinquième anniversaire de mariage, Nick Dunne signale la disparition de sa femme, Amy. Sous la pression de la police et l’affolement des médias, l’image du couple modèle commence à s’effriter. Très vite, les mensonges de Nick et son étrange comportement amènent tout le monde à se poser la même question : a-t-il tué sa femme ?",4.0,149
183,Into the Wild,2h 28min,"Aventure,Biopic,Drame",Sean Penn,"Emile Hirsch,Marcia Gay Harden,William Hurt",Le jeune idéaliste Christopher McCandless abandonne la vie que la plupart d'entre nous connait pour les contrées sauvages de l'Alaska.,3.9,148
184,7. Koğuştaki Mucize,2h 12min,Drame,Mehmet Ada Öztekin,"Aras Bulut İynemli,Nisa Sofiya Aksongur,Deniz Baysal","Séparé de sa fille, un père avec un handicap mental doit prouver son innocence lorsqu’il est arrêté pour le meurtre d’une enfant.",4.3,132
185,La Fille du puisatier,2h 50min,Comédie dramatique,Marcel Pagnol,"Josette Day, Fernandel,Fernand Charpin","Fille aînée du puisatier Amoretti, Patricia s'éprend de Jacques Mazel, un jeune aviateur, issu d'une famille de riches commerçants. Lorsque la guerre éclate, Jacques part rejoindre son escadrille, ignorant que Patricia attend un enfant de lui. Blâmée par son père, la jeune fille est également rejetée par les parents de Jacques.",4.3,170
186,Eve,2h 10min,Drame,Joseph L. Mankiewicz,"Bette Davis,Anne Baxter,George Sanders","Eve Harrington reçoit, des mains d'un vieil acteur, le Prix Sarah Siddons. L'entourage de celle-ci se souvient de son ascension.",4.3,130
187,Room,1h 58min,"Drame,Thriller",Lenny Abrahamson,"Brie Larson,Jacob Tremblay,Joan Allen","Jack, 5 ans, vit seul avec sa mère, Ma. Elle lui apprend à jouer, à rire et à comprendre le monde qui l’entoure. Un monde qui commence et s’arrête aux murs de leur chambre, où ils sont retenus prisonniers, le seul endroit que Jack ait jamais connu.",3.6,118
188,Captain Fantastic,1h 58min,Comédie dramatique,Matt Ross,"Viggo Mortensen,Frank Langella,George MacKay","Dans les forêts reculées du nord-ouest des Etats-Unis, vivant isolé de la société, un père dévoué a consacré sa vie toute entière à faire de ses six jeunes enfants d’extraordinaires adultes.Mais quand le destin frappe sa famille, ils doivent abandonner ce paradis qu’il avait créé pour eux.",3.6,118
189,Imitation Game,1h 55min,"Biopic,Drame",Morten Tyldum,"Benedict Cumberbatch,Keira Knightley,Matthew Goode","1940 : Alan Turing, mathématicien, cryptologue, est chargé par le gouvernement Britannique de percer le secret de la célèbre machine de cryptage allemande Enigma, réputée inviolable.",3.4,115
190,Vous ne l'emporterez pas avec vous,2h 07min,"Comédie,Romance",Frank Capra,"Jean Arthur,Lionel Barrymore,James Stewart","Après avoir fait fortune, le vieux Vanderhof est devenu un sage en pensant que l'argent ne fait pas le bonheur. Il vit entouré de ses petits-enfants et de ses domestiques, pour le moins originaux...",5.0,127
191,Ernest et Célestine,1h 16min,Animation,"Benjamin Renner,Vincent Patar,Stéphane Aubier","Lambert Wilson,Pauline Brunner,Anne-Marie Loop","Dans le monde conventionnel des ours, il est mal vu de se lier d’amitié avec une souris. Et pourtant, Ernest, gros ours marginal, clown et musicien, va accueillir chez lui la petite Célestine, une orpheline qui a fui le monde souterrain des rongeurs.",4.3,76
192,Requiem pour un massacre,2h 23min,"Drame,Guerre",Elem Klimov,"Aleksei Kravchenko,Olga Mironova,Luibomiras Laucevitchuis","En 1943, en Biélorussie, un jeune villageois, Fliora, déterre le fusil d’un soldat mort et s’engage chez les partisans contre l’envahisseur allemand. Avec l’énergie et l’idéalisme d’un enfant, il plonge dans l’horreur d’un monde qui dépasse les adultes eux-mêmes.",4.3,143
193,Une journée particulière,1h 45min,Comédie dramatique,Ettore Scola,"Sophia Loren,Marcello Mastroianni,John Vernon","A Rome le 6 mai 1938. Alors que tous les habitants de l'immeuble assistent au défilé du Duce Mussolini et d'Hitler, une mère de famille nombreuse et un homosexuel se rencontrent.",5.0,105
194,Memories of Murder,2h 10min,"Action,Policier,Drame",Bong Joon Ho,"Song Kang-Ho,Kim Sang-kyung,Hie-bong Byeon","En 1986, dans la province de Gyunggi, le corps d'une jeune femme violée puis assassinée est retrouvé dans la campagne. Deux mois plus tard, d'autres crimes similaires ont lieu. Dans un pays qui n'a jamais connu de telles atrocités, la rumeur d'actes commis par un serial killer grandit de jour en jour.",4.4,130
195,Inglourious Basterds,2h 33min,"Action,Guerre",Quentin Tarantino,"Brad Pitt,Mélanie Laurent,Christoph Waltz","Dans la France occupée de 1940, Shosanna assiste à l'exécution de sa famille tombée entre les mains d'un colonel nazi. Au même moment, le lieutenant Raine forme un groupe de soldats juifs américains pour mener des actions punitives contre les nazis.",3.7,153
196,Jour de colère,1h 32min,Drame,Carl Theodor Dreyer,"Preben Lerdorff Rye,Throkild Roose,Lisbeth Movin","Au XVIIe siecle, une jeune femme est condamnee au bucher pour avoir aime le fils de son mari pasteur. Denoncee par sa belle-mere, elle avoue etre une sorciere.",4.3,92
197,Toy Story,1h 17min,"Animation, Comédie,Famille",John Lasseter,"Richard Darbois,Tim Allen,Jacques Ferrière","Quand Andy quitte sa chambre, ses jouets se mettent à mener leur propre vie sous la houlette du cowboy Woody. Débarque alors Buzz l'éclair, intrépide aventurier de l'espace venu d'une lointaine galaxie, qui va semer la zizanie dans ce petit monde.",4.0,77
198,Philadelphia,2h 05min,Drame,Jonathan Demme,"Tom Hanks,Denzel Washington,Mary Steenburgen",Un jeune avocat atteint du sida doit engager un petit avocat pour attaquer son cabinet pour licenciement abusif.,3.6,125
199,Jurassic Park,2h 02min,"Aventure,Science Fiction",Steven Spielberg,"Sam Neill,Laura Dern,Jeff Goldblum",C'est à partir d'une goutte de sang absorbée par un moustique fossilisé que John Hammond et son équipe ont réussi à faire renaître une dizaine d'espèces de dinosaures.,3.4,122
200,Le Prestige,2h 08min,"Drame,Thriller",Christopher Nolan,"Hugh Jackman,Christian Bale,Michael Caine","Londres, au début du siècle dernier... Robert Angier et Alfred Borden sont deux magiciens surdoués, promis dès leur plus jeune âge à un glorieux avenir. L'émulation tournera vite à la jalousie, puis à la haine...",3.2,128
201,La Fille de Ryan,3h 15min,"Drame,Historique,Romance",David Lean,"Robert Mitchum,Trevor Howard,Christopher Jones","Irlande. 1916. Rosy Ryan épouse le maître d'école du village, de quinze ans son aîné. Déçue par cette union, elle tombe amoureuse du major anglais venu prendre le commandement de la garnison voisine...",4.0,195
202,M le Maudit,1h 52min,"Policier,Thriller",Fritz Lang,"Peter Lorre,Otto Wernicke,Gustaf Gründgens","Toute la presse ne parle que de ça : le maniaque tueur d’enfants, qui terrorise la ville depuis quelques temps, vient de faire une nouvelle victime. Chargé de l’enquête, le commissaire Lohmann multiplie les rafles dans les bas-fonds.",5.0,112
203,Ordet,2h 06min,Drame,Carl Theodor Dreyer,"Henrik Malberg,Emil Hass Christensen,Preben Lerdorff Rye","En 1930, dans un village du Jutland, des discordes religieuses surviennent entre deux familles lorsqu'il est question d'unir par le mariage deux de leurs enfants.",4.3,126
204,Le Temps d'aimer et le temps de mourir,2h 13min,"Drame,Historique,Guerre",Douglas Sirk,"John Gavin,Liselotte Pulver,Jock Mahoney","1944. Alors qu'il revient dans sa ville natale pour une permission, Ernst Graeber, jeune soldat allemand envoyé sur le front russe, rencontre Elisabeth Kruse, dont il tombe amoureux. Mais la guerre qui continue va bouleverser leur histoire...",4.7,133
205,The Great Debaters,2h 06min,"Biopic,Drame",Denzel Washington,"Denzel Washington,Nate Parker,Jurnee Smollett",Une histoire vraie se déroulant en 1935 dans une école américaine réservée aux Noirs.,4.3,126
206,L'Insulte,1h 49min,Drame,Ziad Doueiri,"Adel Karam,Kamel El Basha,Diamand Abou Abboud","A Beyrouth, de nos jours, une insulte qui dégénère conduit Toni (chrétien libanais) et Yasser (réfugié palestinien) devant les tribunaux. De blessures secrètes en révélations, l'affrontement des avocats porte le Liban au bord de l'explosion sociale mais oblige ces deux hommes à se regarder en face.",3.8,109
207,"America, America",2h 54min,"Biopic,Drame,Historique",Elia Kazan,"Stathis Giallelis,Frank Wolff,Elena Karam","Au début du siècle, un jeune Anatolien fuit un pays où Grecs et Arméniens sont persécutés par les Turcs. Il désire émigrer en Amérique, mais s'aperçoit bien vite que ce périple vers la terre promise est un parcours semé d'embûches.",4.3,174
208,L'Aventure de Mme Muir,1h 45min,"Drame,Fantastique,Romance",Joseph L. Mankiewicz,"Gene Tierney,Rex Harrison, George Sanders","Au début du siècle, Lucy Muir achète une étrange maison sur la côte anglaise. Etrange en effet, car la demeure est occupée par son ancien propriétaire, le capitaine Gregg. Enfin, par son fantôme...",5.0,105
209,Rain Man,2h 13min,Comédie dramatique,Barry Levinson,"Dustin Hoffman,Tom Cruise,Valeria Golino","A la mort de son père, Charlie Babbitt, homme d'affaires pressé, hérite d'une vieille Buick qu'il convoitait depuis longtemps mais se voit spolié de quelque trois millions de francs versés à l'Institution psychiatrique Wallbrook au profit d'un bénéficiaire anonyme. Charlie se rend a Wallbrook et découvre l'heureux bénéficiaire. Il s'agit ...",3.6,133
210,Terminator 2 : le Jugement Dernier,2h 17min,"Action,Science Fiction",James Cameron,"Arnold Schwarzenegger,Linda Hamilton,Edward Furlong","Dans cette suite, un Terminator reprogrammé est envoyé du futur afin de protéger le jeune John Connor d'un implacable cyborg protéiforme.",3.8,137
211,Illusions Perdues,2h 30min,"Drame,Historique",Xavier Giannoli,"Benjamin Voisin,Cécile de France,Vincent Lacoste","Lucien est un jeune poète inconnu dans la France du XIXème siècle. Il a de grandes espérances et veut se forger un destin. Il quitte l’imprimerie familiale de sa province natale pour tenter sa chance à Paris, au bras de sa protectrice.",4.0,150
212,J'ai rencontré le Diable,2h 22min,"Drame,Thriller",Kim Jee-Woon,"Lee Byung-Hun,Min-sik Choi,Oh San-ha",Un agent secret recherche le serial killer qui a tué sa fiancée...,4.2,142
213,Rendez-vous,1h 37min,"Comédie,Romance",Ernst Lubitsch,"Margaret Sullavan,James Stewart,Frank Morgan","Chez Matuschek et Cie, une grande boutique de maroquinerie, le jeune Alfred Kralik, l'adjoint du patron, et Klara Novak, une nouvelle employée, vont échanger une correspondance amoureuse, sans savoir qui ils sont, à l'aide de petites annonces.",4.0,97
214,Je veux manger ton pancréas,1h 48min,"Animation,Drame, Romance",Shin'ichirô Ushijima,"Mahiro Takasugi, Lynn,Yukiyo Fujii","Sakura est une lycéenne populaire et pleine de vie. Tout l’opposé d'un de ses camarades solitaires qui, tombant par mégarde sur son journal intime, découvre qu’elle n’a plus que quelques mois à vivre... Unis par ce secret, ils se rapprochent et s'apprivoisent.",4.3,108
215,Avatar : la voie de l'eau,3h 12min,"Action,Aventure,Fantastique",James Cameron,"Sam Worthington,Zoe Saldana,Sigourney Weaver","Se déroulant plus d’une décennie après les événements relatés dans le premier film, AVATAR : LA VOIE DE L’EAU raconte l'histoire des membres de la famille Sully (Jake, Neytiri et leurs enfants), les épreuves auxquelles ils sont confrontés, les chemins qu’ils doivent emprunter pour se protéger les uns les autres, les batailles qu’ils doivent mener pour rester en vie et les tragédies qu'ils endurent.",4.1,192
216,Hors Normes,1h 55min,Comédie,"Eric Toledano,Olivier Nakache","Vincent Cassel,Reda Kateb,Hélène Vincent","Bruno et Malik vivent depuis 20 ans dans un monde à part, celui des enfants et adolescents autistes. Au sein de leurs deux associations respectives, ils forment des jeunes issus des quartiers difficiles pour encadrer ces cas qualifiés ""d'hyper complexes"".",3.9,115
217,Soy Cuba,2h 21min,Drame,Mikhail Kalatozov,"Luz Maria Collazo,José Gallardo,Raul Garcia (III)","A travers quatre histoires qui renforcent l'idéal communiste face à la mainmise du capitalisme, ""Soy Cuba"" dépeint la lente évolution de Cuba du régime de Batista jusqu'à la révolution castriste.",4.1,141
218,Panique,1h 31min,"Policier,Drame",Julien Duvivier,"Michel Simon,Viviane Romance,Lucas Gridoux","Monsieur Hire est un homme que les villageois jugent comme bizarre et presque inquiétant. Lorsqu'un crime est commis, le vrai coupable cherche donc à faire porter le chapeau à ce coupable idéal.",4.3,91
219,Printemps tardif,1h 48min,Drame,Yasujirô Ozu,"Chishû Ryû,Setsuko Hara,Yumeji Tsukioka","Noriko, une jeune femme âgée d’une vingtaine d’années, vit avec son père veuf, Shukichi. Alors que Noriko s'apprête à s'installer seule, père et fille décident de faire un dernier voyage ensemble…",4.3,108
220,"Le Parrain de Mario Puzo, épilogue : la mort de Michael Corleone",2h 38min,"Policier,Drame",Francis Ford Coppola,"Al Pacino,Andy Garcia,Diane Keaton","A l’occasion du 30ème anniversaire du film Le Parrain III, le réalisateur et scénariste Francis Ford Coppola a créé un nouveau montage du troisième et dernier volet du Parrain : Le Parrain de Mario Puzo, épilogue : la mort de Michael Corleone.",4.3,158
221,Sur la route de Madison,2h 15min,"Drame,Romance",Clint Eastwood,"Meryl Streep,Clint Eastwood,Annie Corley","Michael Johnson et sa soeur Caroline reviennent dans la ferme de leur enfance régler la succession de leur mère, Francesca. Ils vont découvrir tout un pan de la vie de leur mère ignoré de tous, sa brève, intense et inoubliable liaison avec un photographe de passage.",4.6,135
222,The Normal Heart,2h 12min,Drame,Ryan Murphy,"Mark Ruffalo,Julia Roberts,Matt Bomer","Une adaptation de la pièce The Normal Heart, qui décrit la montée en puissance du virus du sida dans les années 80 et le combat d'un écrivain-activiste, Ned Weeks, fondateur d'un groupe d'aide luttant contre la maladie.",4.3,132
223,Dune,2h 36min,"Drame,Science Fiction",Denis Villeneuve,"Timothée Chalamet,Rebecca Ferguson,Oscar Isaac","L'histoire de Paul Atreides, voué à connaître un destin hors du commun qui le dépasse totalement. Car s'il veut préserver l'avenir de sa famille et de son peuple, il devra se rendre sur la planète la plus dangereuse de l'univers.",4.0,156
224,Papillon,2h 25min,"Aventure,Biopic,Drame",Franklin J. Schaffner,"Steve McQueen,Dustin Hoffman,Victor Jory","Henri ""Papillon"" Charrière, un malfrat de petite envergure, est jugé à tort pour un meurtre qu'il n'a pas commis. Celui-ci est condamné à vie dans une prison d'une colonie française : le bagne de Cayenne.",4.0,145
225,Les Diaboliques,1h 57min,"Drame,Epouvante-horreur,Thriller",Henri-Georges Clouzot,"Noël Roquevert,Simone Signoret,Vera Clouzot","Dans une institution destinée à l'éducation des jeunes garçons, Christina et Nicole, respectivement épouse et maîtresse du directeur Michel Delasalle, s'associent afin d'assassiner l'homme qu'ells ont fini par haïr. Mais quelques jours après leur méfait, le corps de Michel disparaît...",4.3,117
226,Midnight Express,2h 00min,Drame,Alan Parker,"Brad Davis,Irene Miracle,Bo Hopkins","Billy Hayes est arrêté à Istanbul pour avoir sur lui quelques grammes de hashisch. Condamné à perpétuité, il est enfermé dans des geôles d'une extrême inhumanité.",2.0,120
227,La Trilogie Marseillaise de Marcel Pagnol : Marius,2h 10min,"Comédie,Comédie dramatique,Romance","Alexander Korda,Marcel Pagnol"," Raimu,Pierre Fresnay,Fernand Charpin","Marseille – Le bar de la Marine – Marius est un jeune homme que la mer exalte. Il aime son père César, bourru et bonhomme, il aime aussi la petite Fanny qui vend des coquillages devant le bar de César. Depuis son enfance, l’envie de courir le monde l’enflamme.",4.3,130
228,Silent Voice,2h 09min,"Animation,Drame,Romance",Naoko Yamada,"Miyu Irino,Saori Hayami,Aoi Yūki","Nishimiya est une élève douce et attentionnée. Chaque jour, pourtant, elle est harcelée par Ishida, car elle est sourde. Dénoncé pour son comportement, le garçon est à son tour mis à l'écart et rejeté par ses camarades. Des années plus tard, il apprend la langue des signes... et part à la recherche de la jeune fille.",3.7,129
229,Slumdog Millionaire,2h 00min,"Comédie,Comédie dramatique,Romance","Loveleen Tandan,Danny Boyle","Dev Patel,Freida Pinto,Mia Drake","Le récit pittoresque d'un jeune homme issu des bidonvilles de Mumbai en passe de gagner le jeu télévisé ""Qui veut gagner des millions"".",3.5,120
230,Klaus,1h 36min,Animation,Sergio Pablos,"Alex Lutz,Jason Schwartzman,Ludivine Sagnier",Un jeune facteur affecté à une sinistre petite ville glacée du pôle Nord découvre que le père Noël s'y cache.,4.2,96
231,Impitoyable,2h 11min,"Drame,Western",Clint Eastwood,"Clint Eastwood,Gene Hackman,Morgan Freeman","Kansas 1880. William Munny, redoutable hors-la-loi reconverti dans l'élevage va, à la demande d'un jeune tueur, reprendre du service pour venger une prostituée défigurée par un cow-boy sadique.",4.8,131
232,Certains l'aiment chaud,2h 01min,"Comédie,Romance",Billy Wilder,"Marilyn Monroe,Tony Curtis,Jack Lemmon","Deux musiciens de jazz au chômage, mêlés involontairement à un règlement de comptes entre gangsters, se transforment en musiciennes pour leur échapper. Ils partent en Floride avec un orchestre féminin. Ils tombent amoureux d'une ravissante créature.",3.2,121
233,Lawrence d'Arabie,3h 36min,"Aventure,Biopic",David Lean,"Peter O'Toole,Alec Guinness,Omar Sharif","Le destin hors du commun de l'officier britannique T. E. Lawrence, qui mena la révolte arabe contre l'occupant turc au cours de la Première Guerre mondiale. Adapté des Sept Piliers de la sagesse, son récit autobiographique.",4.4,216
234,Un Condamné à mort s'est échappé,1h 39min,Drame,Robert Bresson,"François Leterrier,Charles Le Clainche,Maurice Beerblock","Conduit en 1943 au fort de Montluc pour y être exécuté par les Allemands, le lieutenant Fontaine parvient à s'échapper en compagnie d'un autre prisonnier, Jost.",4.2,99
235,Loulou,2h 13min,Drame,Georg Wilhelm Pabst,"Louise Brooks,Fritz Kortner,Franz Lederer","Loulou, belle, capricieuse, insouciante et innocemment perverse, est une créature qui ne vit que pour l'amour. Elle joue dans une revue que commandite son amant, Ludwig Schön, un puissant magnat de la presse et du music-hall...",4.2,133
236,Love Exposure,3h 57min,"Action,Comédie,Drame",Sion Sono,"Makiko Watanabe, Itsuji Itao,Takahiro Nishijima","Fils d’un prêtre respecté, Yu intègre un groupe de pervers professionnels afin de vivre dans le péché. Malgré une vie de débauche, le jeune homme ne désespère pas de trouver l’âme soeur.",4.2,237
237,Le Gouffre aux chimères,1h 51min,Drame,Billy Wilder,"Kirk Douglas,Jan Sterling,Porter Hall","Charles Tatum, journaliste sans scrupules, va exploiter un scoop. Au Nouveau-Mexique, Léo Minosa, un Indien, est coincé au fond d'une galerie effondrée. S'arrangeant pour être le seul journaliste sur le coup, Tatum va persuader le shérif de choisir la formule de sauvetage la plus lente.",4.3,111
