rank,title,duration,genres,directors,cast,synopsis,rating,duration_min
46,L'Intendant Sansho,2h 04min,Drame,Kenji Mizoguchi,"Kinuyo Tanaka,Yoshiaki Hanayagi,Kyôko Kagawa","XIe siècle. Un gouverneur de province est exilé pour avoir pris le parti des paysans contre l’avis d’un chef militaire. Contraints de reprendre la route de son village natal, sa femme Nakagimi et ses enfants Anju et Zushio sont kidnappés par des bandits de grand chemin...",5.0,124
47,Million Dollar Baby,2h 12min,Drame,Clint Eastwood,"Clint Eastwood,Morgan Freeman,Hilary Swank","Replié sur lui-même, l'entraîneur Frankie Dunn vit dans un désert affectif, en évitant toute relation qui pourrait accroître sa douleur et sa culpabilité. Un jour, une trentenaire pousse la porte de son gymnase à la recherche d'un coach...",4.9,132
48,Farha,1h 32min,Drame,Darin J. Sallam,"Karam Taher,Ashraf Barhom,Ali Suliman","Dans la Palestine de 1948, une jeune fille de 14 ans assiste, depuis un garde-manger fermé à clé, à la catastrophe qui dévaste sa maison...",4.4,92
49,Le Voyage de Chihiro,2h 05min,"Aventure,Animation,Fantastique",Hayao Miyazaki,"Rumi Hiiragi,Miyu Irino,Mari Natsuki","Chihiro, une fillette de 10 ans, est en route vers sa nouvelle demeure en compagnie de ses parents. Au cours du voyage, la famille fait une halte dans un parc à thème qui leur paraît délabré. Lors de la visite, les parents s’arrêtent dans un des bâtiments pour déguster quelques mets très appétissants, apparus comme par enchantement. Hélas cette nourriture les transforme en porcs. Prise de panique, Chihiro s’enfuit et se retrouve seule dans cet univers fantasmagorique ; elle rencontre alors l’énigmatique Haku, son seul allié dans cette terrible épreuve...",4.8,125
50,Tu ne tueras point,2h 20min,"Biopic,Drame,Guerre",Mel Gibson,"Andrew Garfield,Vince Vaughn,Teresa Palmer","1945, alors que la guerre dans le Pacifique fait rage et que les forces américaines mènent l’une des batailles les plus acharnées du conflit sur l’île d’Okinawa, un soldat s’est distingué. Fidèle à ses convictions et armé de son seul courage, il a sauvé la vie de dizaines de soldats blessés.",3.0,140
51,Les Lumières de la ville,1h 27min,"Comédie dramatique,Romance",Charles Chaplin,"Charles Chaplin,Virginia Cherrill,Harry Myers","Un vagabond s’éprend d’une belle et jeune vendeuse de fleurs aveugle qui vit avec sa mère, couverte de dettes. Suite à un quiproquo, la fleuriste s’imagine le misérable, qui vient de lui acheter une fleur, en milliardaire...",4.5,87
52,"Les Enfants Loups, Ame & Yuki",1h 57min,"Animation,Fantastique",Mamoru Hosoda,"Kumiko Aso,Megumi Hayashibara,Takuma Hiraoka","Hana et ses deux enfants, Ame et Yuki, vivent discrètement dans un coin tranquille de la ville. Leur vie est simple et joyeuse, mais ils cachent un secret : leur père est un homme-loup. Quand celui-ci disparaît brutalement, Hana décide de quitter la ville pour élever ses enfants...",4.1,117
53,Voyage au bout de l'enfer,3h 03min,"Drame,Guerre",Michael Cimino,"Robert De Niro,Christopher Walken,Meryl Streep","Entre Amérique et Viêtnam, le parcours et le destin tragiques d'une bande d'amis soudés, confrontés aux horreurs et aux injustices de la guerre.",4.7,183
54,Apocalypse Now Final Cut,3h 02min,"Drame,Guerre",Francis Ford Coppola,"Martin Sheen,Frederic Forrest,Robert Duvall","Cloîtré dans une chambre d'hôtel de Saïgon, le jeune capitaine Willard, mal rasé et imbibé d'alcool, est sorti de sa prostration par une convocation de l'état-major américain. Le général Corman lui confie une mission qui doit rester secrète : éliminer le colonel Kurtz, un militaire aux méthodes quelque peu expéditives...",4.8,182
55,Les Sentiers de la gloire,1h 28min,"Drame,Guerre",Stanley Kubrick,"Kirk Douglas,Ralph Meeker,Adolphe Menjou","Durant la Première Guerre mondiale, le général français Mireau lance une offensive suicidaire contre une position allemande imprenable. Au moment de l'attaque, les soldats tombent par dizaines et leurs compagnons refusent d'avancer...",4.6,88
